date ,Region,price
01/01/1990,South East,1.1005
01/01/1990,South West,1.0326
01/01/1990,Wales,0.9119
01/01/1990,West Midlands,0.9352
01/01/1990,Yorkshire & Humber,0.9364
01/02/1990,East Anglia,1.0363
01/02/1990,East Midlands,0.9769
01/02/1990,London,1.1651
01/02/1990,North,0.9605
01/02/1990,North West,0.9151
01/02/1990,Northern Ireland,1.1036
01/02/1990,Scotland,1.0016
01/02/1990,South East,1.1058
01/02/1990,South West,1.0331
01/02/1990,Wales,0.9364
01/02/1990,West Midlands,0.9476
01/02/1990,Yorkshire & Humber,0.9400
01/03/1990,East Anglia,1.0359
01/03/1990,East Midlands,0.9804
01/03/1990,London,1.1671
01/03/1990,North,0.9755
01/03/1990,North West,0.9196
01/03/1990,Northern Ireland,1.1036
01/03/1990,Scotland,1.0042
01/03/1990,South East,1.1005
01/03/1990,South West,1.0367
01/03/1990,Wales,0.9413
01/03/1990,West Midlands,0.9305
01/03/1990,Yorkshire & Humber,0.9416
01/04/1990,East Anglia,1.1050
01/04/1990,East Midlands,1.0076
01/04/1990,London,1.2116
01/04/1990,North,0.9990
01/04/1990,North West,0.9484
01/04/1990,Northern Ireland,1.1400
01/04/1990,Scotland,1.0359
01/04/1990,South East,1.1441
01/04/1990,South West,1.0744
01/04/1990,Wales,0.9662
01/04/1990,West Midlands,0.9495
01/04/1990,Yorkshire & Humber,0.9831
01/05/1990,East Anglia,1.1103
01/05/1990,East Midlands,1.0247
01/05/1990,London,1.2088
01/05/1990,North,1.0146
01/05/1990,North West,0.9642
01/05/1990,Northern Ireland,1.1600
01/05/1990,Scotland,1.0476
01/05/1990,South East,1.1522
01/05/1990,South West,1.0917
01/05/1990,Wales,0.9846
01/05/1990,West Midlands,0.9974
01/05/1990,Yorkshire & Humber,0.9800
01/06/1990,East Anglia,1.1077
01/06/1990,East Midlands,1.0271
01/06/1990,London,1.2137
01/06/1990,North,1.0146
01/06/1990,North West,0.9696
01/06/1990,Northern Ireland,1.1600
01/06/1990,Scotland,1.0484
01/06/1990,South East,1.1568
01/06/1990,South West,1.0992
01/06/1990,Wales,0.9844
01/06/1990,West Midlands,1.0035
01/06/1990,Yorkshire & Humber,0.9867
01/07/1990,East Anglia,1.1233
01/07/1990,East Midlands,1.0409
01/07/1990,London,1.2357
01/07/1990,North,1.0185
01/07/1990,North West,0.9899
01/07/1990,Northern Ireland,1.1605
01/07/1990,Scotland,1.0882
01/07/1990,South East,1.1737
01/07/1990,South West,1.1193
01/07/1990,Wales,0.9886
01/07/1990,West Midlands,1.0116
01/07/1990,Yorkshire & Humber,1.0140
01/08/1990,East Anglia,1.1282
01/08/1990,East Midlands,1.0644
01/08/1990,London,1.2528
01/08/1990,North,1.0497
01/08/1990,North West,0.9976
01/08/1990,Northern Ireland,1.1605
01/08/1990,Scotland,1.0923
01/08/1990,South East,1.2093
01/08/1990,South West,1.1448
01/08/1990,Wales,0.9946
01/08/1990,West Midlands,1.0264
01/08/1990,Yorkshire & Humber,1.0270
01/09/1990,East Anglia,1.1559
01/09/1990,East Midlands,1.0708
01/09/1990,London,1.2679
01/09/1990,North,1.0438
01/09/1990,North West,1.0019
01/09/1990,Northern Ireland,1.1605
01/09/1990,Scotland,1.0912
01/09/1990,South East,1.2130
01/09/1990,South West,1.1597
01/09/1990,Wales,1.0114
01/09/1990,West Midlands,1.0342
01/09/1990,Yorkshire & Humber,1.0274
01/10/1990,East Anglia,1.1770
01/10/1990,East Midlands,1.0880
01/10/1990,London,1.2800
01/10/1990,North,1.0483
01/10/1990,North West,1.0063
01/10/1990,Northern Ireland,1.2110
01/10/1990,Scotland,1.0955
01/10/1990,South East,1.2158
01/10/1990,South West,1.1652
01/10/1990,Wales,1.0200
01/10/1990,West Midlands,1.0716
01/10/1990,Yorkshire & Humber,1.0307
01/11/1990,East Anglia,1.1745
01/11/1990,East Midlands,1.0738
01/11/1990,London,1.2784
01/11/1990,North,1.0481
01/11/1990,North West,1.0081
01/11/1990,Northern Ireland,1.2105
01/11/1990,Scotland,1.1005
01/11/1990,South East,1.2105
01/11/1990,South West,1.1755
01/11/1990,Wales,1.0278
01/11/1990,West Midlands,1.0747
01/11/1990,Yorkshire & Humber,1.0361
01/12/1990,East Anglia,1.1902
01/12/1990,East Midlands,1.0848
01/12/1990,London,1.2976
01/12/1990,North,1.0555
01/12/1990,North West,1.0149
01/12/1990,Northern Ireland,1.2127
01/12/1990,Scotland,1.0996
01/12/1990,South East,1.2240
01/12/1990,South West,1.1940
01/12/1990,Wales,1.0335
01/12/1990,West Midlands,1.0771
01/12/1990,Yorkshire & Humber,1.0389
01/01/1991,East Anglia,1.2008
01/01/1991,East Midlands,1.0790
01/01/1991,London,1.3174
01/01/1991,North,1.0553
01/01/1991,North West,1.0199
01/01/1991,Northern Ireland,1.2157
01/01/1991,Scotland,1.1018
01/01/1991,South East,1.2420
01/01/1991,South West,1.2019
01/01/1991,Wales,1.0376
01/01/1991,West Midlands,1.0774
01/01/1991,Yorkshire & Humber,1.0412
01/02/1991,East Anglia,1.1957
01/02/1991,East Midlands,1.1297
01/02/1991,London,1.3208
01/02/1991,North,1.0602
01/02/1991,North West,1.0328
01/02/1991,Northern Ireland,1.2136
01/02/1991,Scotland,1.1070
01/02/1991,South East,1.2498
01/02/1991,South West,1.2019
01/02/1991,Wales,1.0447
01/02/1991,West Midlands,1.0816
01/02/1991,Yorkshire & Humber,1.0371
01/03/1991,East Anglia,1.2002
01/03/1991,East Midlands,1.1297
01/03/1991,London,1.3151
01/03/1991,North,1.0687
01/03/1991,North West,1.0338
01/03/1991,Northern Ireland,1.2136
01/03/1991,Scotland,1.1092
01/03/1991,South East,1.2484
01/03/1991,South West,1.2063
01/03/1991,Wales,1.0589
01/03/1991,West Midlands,1.0803
01/03/1991,Yorkshire & Humber,1.0430
01/04/1991,East Anglia,1.2781
01/04/1991,East Midlands,1.2043
01/04/1991,London,1.3751
01/04/1991,North,1.1439
01/04/1991,North West,1.0986
01/04/1991,Northern Ireland,1.2714
01/04/1991,Scotland,1.1696
01/04/1991,South East,1.3175
01/04/1991,South West,1.2802
01/04/1991,Wales,1.1222
01/04/1991,West Midlands,1.1450
01/04/1991,Yorkshire & Humber,1.1140
01/05/1991,East Anglia,1.2873
01/05/1991,East Midlands,1.2092
01/05/1991,London,1.3724
01/05/1991,North,1.1404
01/05/1991,North West,1.1028
01/05/1991,Northern Ireland,1.2705
01/05/1991,Scotland,1.1712
01/05/1991,South East,1.3277
01/05/1991,South West,1.2859
01/05/1991,Wales,1.1171
01/05/1991,West Midlands,1.1446
01/05/1991,Yorkshire & Humber,1.1148
01/06/1991,East Anglia,1.2890
01/06/1991,East Midlands,1.2173
01/06/1991,London,1.3884
01/06/1991,North,1.1538
01/06/1991,North West,1.1153
01/06/1991,Northern Ireland,1.2727
01/06/1991,Scotland,1.1818
01/06/1991,South East,1.3362
01/06/1991,South West,1.2917
01/06/1991,Wales,1.1217
01/06/1991,West Midlands,1.1522
01/06/1991,Yorkshire & Humber,1.1179
01/07/1991,East Anglia,1.3040
01/07/1991,East Midlands,1.2432
01/07/1991,London,1.4016
01/07/1991,North,1.1610
01/07/1991,North West,1.1310
01/07/1991,Northern Ireland,1.2714
01/07/1991,Scotland,1.2264
01/07/1991,South East,1.3603
01/07/1991,South West,1.3188
01/07/1991,Wales,1.1224
01/07/1991,West Midlands,1.1633
01/07/1991,Yorkshire & Humber,1.1408
01/08/1991,East Anglia,1.3217
01/08/1991,East Midlands,1.2436
01/08/1991,London,1.4120
01/08/1991,North,1.1764
01/08/1991,North West,1.1352
01/08/1991,Northern Ireland,1.2773
01/08/1991,Scotland,1.2298
01/08/1991,South East,1.3663
01/08/1991,South West,1.3248
01/08/1991,Wales,1.1314
01/08/1991,West Midlands,1.1850
01/08/1991,Yorkshire & Humber,1.1560
01/09/1991,East Anglia,1.3468
01/09/1991,East Midlands,1.2488
01/09/1991,London,1.4327
01/09/1991,North,1.1832
01/09/1991,North West,1.1399
01/09/1991,Northern Ireland,1.2810
01/09/1991,Scotland,1.2322
01/09/1991,South East,1.3834
01/09/1991,South West,1.3370
01/09/1991,Wales,1.1471
01/09/1991,West Midlands,1.1936
01/09/1991,Yorkshire & Humber,1.1610
01/10/1991,East Anglia,1.3549
01/10/1991,East Midlands,1.2488
01/10/1991,London,1.4260
01/10/1991,North,1.1920
01/10/1991,North West,1.1426
01/10/1991,Northern Ireland,1.3388
01/10/1991,Scotland,1.2279
01/10/1991,South East,1.3787
01/10/1991,South West,1.3413
01/10/1991,Wales,1.1688
01/10/1991,West Midlands,1.2004
01/10/1991,Yorkshire & Humber,1.1674
01/11/1991,East Anglia,1.3512
01/11/1991,East Midlands,1.2483
01/11/1991,London,1.4277
01/11/1991,North,1.1990
01/11/1991,North West,1.1407
01/11/1991,Northern Ireland,1.3590
01/11/1991,Scotland,1.2356
01/11/1991,South East,1.3865
01/11/1991,South West,1.3440
01/11/1991,Wales,1.1740
01/11/1991,West Midlands,1.1967
01/11/1991,Yorkshire & Humber,1.1685
01/12/1991,East Anglia,1.3480
01/12/1991,East Midlands,1.2477
01/12/1991,London,1.4286
01/12/1991,North,1.1977
01/12/1991,North West,1.1417
01/12/1991,Northern Ireland,1.3590
01/12/1991,Scotland,1.2341
01/12/1991,South East,1.3911
01/12/1991,South West,1.3440
01/12/1991,Wales,1.1786
01/12/1991,West Midlands,1.1894
01/12/1991,Yorkshire & Humber,1.1696
01/01/1992,East Anglia,1.3320
01/01/1992,East Midlands,1.2457
01/01/1992,London,1.4346
01/01/1992,North,1.1939
01/01/1992,North West,1.1487
01/01/1992,Northern Ireland,1.3590
01/01/1992,Scotland,1.2347
01/01/1992,South East,1.3957
01/01/1992,South West,1.3521
01/01/1992,Wales,1.1820
01/01/1992,West Midlands,1.1949
01/01/1992,Yorkshire & Humber,1.1682
01/02/1992,East Anglia,1.3433
01/02/1992,East Midlands,1.2449
01/02/1992,London,1.4235
01/02/1992,North,1.1972
01/02/1992,North West,1.1634
01/02/1992,Northern Ireland,1.3539
01/02/1992,Scotland,1.2398
01/02/1992,South East,1.4033
01/02/1992,South West,1.3607
01/02/1992,Wales,1.1880
01/02/1992,West Midlands,1.1942
01/02/1992,Yorkshire & Humber,1.1684
01/03/1992,East Anglia,1.3465
01/03/1992,East Midlands,1.2578
01/03/1992,London,1.4322
01/03/1992,North,1.2182
01/03/1992,North West,1.1699
01/03/1992,Northern Ireland,1.3539
01/03/1992,Scotland,1.2389
01/03/1992,South East,1.4109
01/03/1992,South West,1.3583
