Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12507.71359,11565.37384,10840.07873,10765.15063,10998.14712,11362.64635,12015.92681,10382.85145,10848.42118,9993.449174,10503.62031,11124.50607,12036.18332,12767.2686,13701.50142,14779.19305,15904.90196,17078.3683,18250.54052,17767.51424,18160.60824,18661.47996,18911.58431,18911.12601,19202.80893,19988.22449,20740.79485,21469.94544,22206.09078,23265.87692,22379.09431,23431.96761
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38601.03273,41770.64215,43430.27134,47819.42395,46538.77472,47157.21676,47825.87425,47957.06856,48717.18204,48988.57018,49406.29103,48245.77548,47311.74551,47476.98335,47661.39407,47493.1484,46910.19114,47000.31533,46408.83208,44759.39472,44599.80497,44157.47964,45035.97855,46930.83073,48201.15717,48110.73419,47937.70906,47709.77802,46377.65048,45311.8683,41545.8415,41335.63311
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38073.86492,35813.5835,33793.4204,33267.54769,33719.99379,34652.56759,35632.72413,37634.40583,35539.17305,39404.49766,40491.17864,40926.193,41344.6671,40109.25037,39731.17403,40327.08375,40569.74767,40381.45928,38720.96313,36475.74442,36480.08092,36229.50906,36937.18655,35529.62617,35847.85605,35859.29375,35201.5136,35911.65435,36200.69588,36522.40299,27555.65735,31046.79109
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.423655,2053.399172,3946.67047,5344.159306,6180.71329,6757.747987,7604.514043,7779.798384,8162.501207,8471.869129,9002.915494,9350.948134,9856.973196,10441.6044,11035.04341,10755.97583,10938.28984,11176.88171,11257.83999,11725.25599,12066.59234,12630.66768,13194.33103,13753.83794,14386.73827,14896.79651,14520.90604,15634.92656
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895.172703,8784.377365,7923.650356,7305.306909,6458.214559,5805.363156,5988.03971,6698.457879,7293.908216,7575.918326,8053.173638,8477.084011,8961.64112,9660.193688,10839.95627,11940.1866,13214.87158,14417.35353,15942.89768,16014.11553,17300.70368,18274.02072,18611.45421,18805.43087,19119.34615,18362.74559,17883.1265,18356.10077,18974.69981,19279.20925,19186.77581,19751.20391
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4773.494665,5221.016255,5754.60106,6013.593715,5902.048291,5788.457054,5687.125724,5678.360669,5668.866917,5941.236922,6488.564294,6606.331448,6750.967134,7188.334201,7329.779933,7298.679881,7433.815341,7327.055712,7337.740343,7176.52688,7235.659014,7178.685858,7184.083738,7083.358052,7239.278269,7292.826855,7132.065769,7140.905119,7148.128276,7152.657414,5845.706062,6300.274443
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65961.40628,63958.89625,64385.40741,65967.85001,65904.72042,68313.38185,69643.40752,72403.88044,74677.09242,76772.32385,83181.52634,88231.78386,86364.15374,88727.31127,90195.81156,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81423.40845,81681.72667,76105.13806,77546.61033
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587.429359,4728.047449,4705.587145,4804.540089,4925.107627,5050.313847,5164.250073,5312.081015,5469.469867,5386.17912,5415.526132,5402.75946,5434.08387,5479.266888,5605.201927,5749.531605,5920.709711,6085.386474,6351.226274,6455.968329,6612.803357,6844.983783,7081.386128,7444.490809,7730.638402,7984.411983,8202.544232,8423.69756,8655.531498,8724.474187,7853.053972,8219.942366
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10520.74347,10443.95899,10211.29802,10537.27322,10973.25383,11254.11683,11321.3898,11524.111,11387.62349,11272.70673,11600.94838,11602.49953,11800.84089,11786.33368,12316.37419,12565.9414,12922.15549,13564.9942,14114.97477,13962.25888,14873.20832,15323.33139,15478.79284,15805.22291,15749.51216,15064.17607,14451.15284,14524.61354,14668.25616,14736.15606,14063.97183,14615.04558
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13985.82998,13390.15683,12580.94115,12633.6689,12837.88434,13044.14294,13507.37958,14087.715,14550.52192,14538.70422,15126.20722,14715.12639,14780.60276,15052.16577,15211.85285,15754.20464,16647.62794,16918.75297,16951.32549,16034.25365,15598.19695,15444.05766,15338.69633,15084.99195,15043.72991,15388.58208,15752.37551,15800.42431,15615.70916,15499.80821,13316.48739,13487.10189
