,Date,Year,Energy Source,Energy Consumption
272,1995,,Solar Consumption,0.0
273,1995,,Wind Consumption,0.018638888
274,1995,,Hydro Consumption,176.7359161
275,1995,,Nuclear Consumption,32.06675339
276,1995,,Gas Consumption,461.2434998
277,1995,,Coal Consumption,922.4712524
278,1995,,Oil Consumption,1266.781738
279,1996,,Geo Biomass Other,1.258092999
280,1996,,Biofuels Consumption - TWh -,0.0
281,1996,,Solar Consumption,0.0
282,1996,,Wind Consumption,0.021
283,1996,,Hydro Consumption,184.269104
284,1996,,Nuclear Consumption,33.41173935
285,1996,,Gas Consumption,484.1917725
286,1996,,Coal Consumption,935.2282104
287,1996,,Oil Consumption,1293.971191
288,1997,,Geo Biomass Other,1.386640429
289,1997,,Biofuels Consumption - TWh -,0.0
290,1997,,Solar Consumption,0.0
291,1997,,Wind Consumption,0.021277778
292,1997,,Hydro Consumption,188.8111572
293,1997,,Nuclear Consumption,35.88605118
294,1997,,Gas Consumption,474.4755249
295,1997,,Coal Consumption,959.019104
296,1997,,Oil Consumption,1332.273071
297,1998,,Geo Biomass Other,1.71254921
298,1998,,Biofuels Consumption - TWh -,0.0
299,1998,,Solar Consumption,0.0
300,1998,,Wind Consumption,0.022472221
301,1998,,Hydro Consumption,197.0977936
302,1998,,Nuclear Consumption,38.59304047
303,1998,,Gas Consumption,499.3369751
304,1998,,Coal Consumption,937.0389404
305,1998,,Oil Consumption,1363.508667
306,1999,,Geo Biomass Other,1.696124792
307,1999,,Biofuels Consumption - TWh -,0.0
308,1999,,Solar Consumption,0.0
309,1999,,Wind Consumption,0.058539443
310,1999,,Hydro Consumption,209.0126038
311,1999,,Nuclear Consumption,36.42517853
312,1999,,Gas Consumption,504.0196228
313,1999,,Coal Consumption,966.0106812
314,1999,,Oil Consumption,1414.560181
315,2000,,Geo Biomass Other,2.269063234
316,2000,,Biofuels Consumption - TWh -,0.0
317,2000,,Solar Consumption,0.035313889
318,2000,,Wind Consumption,0.518951416
319,2000,,Hydro Consumption,222.5306396
320,2000,,Nuclear Consumption,36.91606903
321,2000,,Gas Consumption,556.8223877
322,2000,,Coal Consumption,963.7305908
323,2000,,Oil Consumption,1420.386475
324,2001,,Geo Biomass Other,2.335352659
325,2001,,Biofuels Consumption - TWh -,0.0
326,2001,,Solar Consumption,0.043955833
327,2001,,Wind Consumption,1.220885873
328,2001,,Hydro Consumption,237.5763092
329,2001,,Nuclear Consumption,30.21781921
330,2001,,Gas Consumption,634.6361694
331,2001,,Coal Consumption,975.9262695
332,2001,,Oil Consumption,1432.664307
333,2002,,Geo Biomass Other,2.28640008
334,2002,,Biofuels Consumption - TWh -,0.0
335,2002,,Solar Consumption,0.049043614
336,2002,,Wind Consumption,1.294748068
337,2002,,Hydro Consumption,248.1781921
338,2002,,Nuclear Consumption,33.58561325
339,2002,,Gas Consumption,670.6054077
340,2002,,Coal Consumption,934.4215698
341,2002,,Oil Consumption,1479.166504
342,2003,,Geo Biomass Other,2.622400045
343,2003,,Biofuels Consumption - TWh -,0.0
344,2003,,Solar Consumption,0.058158889
345,2003,,Wind Consumption,1.553291917
346,2003,,Hydro Consumption,239.476593
347,2003,,Nuclear Consumption,35.24045944
348,2003,,Gas Consumption,711.5067139
349,2003,,Coal Consumption,1017.048401
350,2003,,Oil Consumption,1524.815063
351,2004,,Geo Biomass Other,2.978849649
352,2004,,Biofuels Consumption - TWh -,0.0
353,2004,,Solar Consumption,0.070790559
354,2004,,Wind Consumption,2.213917017
355,2004,,Hydro Consumption,251.3361664
356,2004,,Nuclear Consumption,36.95752716
357,2004,,Gas Consumption,783.0681763
358,2004,,Coal Consumption,1119.161865
359,2004,,Oil Consumption,1586.510742
360,2005,,Geo Biomass Other,3.009669304
361,2005,,Biofuels Consumption - TWh -,0.0
362,2005,,Solar Consumption,0.084134445
363,2005,,Wind Consumption,2.234556675
364,2005,,Hydro Consumption,254.3791809
365,2005,,Nuclear Consumption,31.02905273
366,2005,,Gas Consumption,807.7815552
367,2005,,Coal Consumption,1039.072632
368,2005,,Oil Consumption,1654.919189
369,2006,,Geo Biomass Other,3.770404816
370,2006,,Biofuels Consumption - TWh -,0.0
371,2006,,Solar Consumption,0.107861668
372,2006,,Wind Consumption,2.425894022
373,2006,,Hydro Consumption,261.9176636
374,2006,,Nuclear Consumption,27.37537956
375,2006,,Gas Consumption,843.4420776
376,2006,,Coal Consumption,1054.097046
377,2006,,Oil Consumption,1673.716797
378,2007,,Geo Biomass Other,3.142048359
379,2007,,Biofuels Consumption - TWh -,0.0
380,2007,,Solar Consumption,0.142732784
381,2007,,Wind Consumption,2.873494387
382,2007,,Hydro Consumption,269.1854553
383,2007,,Nuclear Consumption,30.70724869
384,2007,,Gas Consumption,900.0696411
385,2007,,Coal Consumption,1071.633301
386,2007,,Oil Consumption,1734.740723
387,2008,,Geo Biomass Other,3.267395735
388,2008,,Biofuels Consumption - TWh -,0.0
389,2008,,Solar Consumption,0.204168335
390,2008,,Wind Consumption,3.686172962
391,2008,,Hydro Consumption,272.48349
392,2008,,Nuclear Consumption,35.06555176
393,2008,,Gas Consumption,935.1621094
394,2008,,Coal Consumption,1180.725098
395,2008,,Oil Consumption,1824.850952
396,2009,,Geo Biomass Other,3.562722206
397,2009,,Biofuels Consumption - TWh -,0.0
398,2009,,Solar Consumption,0.267598331
399,2009,,Wind Consumption,4.438264847
400,2009,,Hydro Consumption,278.0455933
401,2009,,Nuclear Consumption,34.31848145
402,2009,,Gas Consumption,940.8606567
403,2009,,Coal Consumption,1176.002075
404,2009,,Oil Consumption,1885.976318
405,2010,,Geo Biomass Other,3.76455307
406,2010,,Biofuels Consumption - TWh -,0.0
407,2010,,Solar Consumption,0.59966141
408,2010,,Wind Consumption,6.341038704
409,2010,,Hydro Consumption,298.9256287
410,2010,,Nuclear Consumption,36.02827454
411,2010,,Gas Consumption,980.7318115
412,2010,,Coal Consumption,1164.840088
413,2010,,Oil Consumption,1966.2146
414,2011,,Geo Biomass Other,3.858768463
415,2011,,Biofuels Consumption - TWh -,0.0
416,2011,,Solar Consumption,1.660955548
417,2011,,Wind Consumption,6.58354044
418,2011,,Hydro Consumption,305.5223999
419,2011,,Nuclear Consumption,34.1540947
420,2011,,Gas Consumption,1060.526978
421,2011,,Coal Consumption,1147.299316
422,2011,,Oil Consumption,1934.170898
423,2012,,Geo Biomass Other,4.042406559
424,2012,,Biofuels Consumption - TWh -,0.0
425,2012,,Solar Consumption,2.721807241
426,2012,,Wind Consumption,6.897696018
427,2012,,Hydro Consumption,304.9770508
428,2012,,Nuclear Consumption,34.11926651
429,2012,,Gas Consumption,1146.770386
430,2012,,Coal Consumption,1118.487061
431,2012,,Oil Consumption,2046.829956
432,2013,,Geo Biomass Other,4.433248997
433,2013,,Biofuels Consumption - TWh -,0.0
434,2013,,Solar Consumption,2.146321058
435,2013,,Wind Consumption,9.793644905
436,2013,,Hydro Consumption,320.6520691
437,2013,,Nuclear Consumption,36.89141464
438,2013,,Gas Consumption,1169.745483
439,2013,,Coal Consumption,1130.160645
440,2013,,Oil Consumption,2121.441406
441,2014,,Geo Biomass Other,5.4620471
442,2014,,Biofuels Consumption - TWh -,0.0
443,2014,,Solar Consumption,5.158529282
444,2014,,Wind Consumption,13.70823193
445,2014,,Hydro Consumption,336.1504211
446,2014,,Nuclear Consumption,35.85942459
447,2014,,Gas Consumption,1202.319946
448,2014,,Coal Consumption,1183.80603
449,2014,,Oil Consumption,2143.333496
450,2015,,Geo Biomass Other,7.169681549
451,2015,,Biofuels Consumption - TWh -,0.0
452,2015,,Solar Consumption,8.775348663
453,2015,,Wind Consumption,23.99623108
454,2015,,Hydro Consumption,324.2737122
455,2015,,Nuclear Consumption,31.62243271
456,2015,,Gas Consumption,1325.359863
457,2015,,Coal Consumption,1119.038574
458,2015,,Oil Consumption,2199.14502
459,2016,,Geo Biomass Other,7.231852055
460,2016,,Biofuels Consumption - TWh -,0.0
461,2016,,Solar Consumption,14.41341496
462,2016,,Wind Consumption,29.9195652
463,2016,,Hydro Consumption,314.3547668
464,2016,,Nuclear Consumption,38.59990692
465,2016,,Gas Consumption,1370.495117
466,2016,,Coal Consumption,1186.287964
467,2016,,Oil Consumption,2210.926025
468,2017,,Geo Biomass Other,7.62603569
469,2017,,Biofuels Consumption - TWh -,0.0
470,2017,,Solar Consumption,20.68731308
471,2017,,Wind Consumption,33.1529007
472,2017,,Hydro Consumption,336.2319031
473,2017,,Nuclear Consumption,36.24556351
474,2017,,Gas Consumption,1448.744873
475,2017,,Coal Consumption,1185.067139
476,2017,,Oil Consumption,2233.089844
477,2018,,Geo Biomass Other,8.172670364
478,2018,,Biofuels Consumption - TWh -,0.0
479,2018,,Solar Consumption,26.59893036
480,2018,,Wind Consumption,39.07558823
481,2018,,Hydro Consumption,356.1150818
482,2018,,Nuclear Consumption,29.39964104
483,2018,,Gas Consumption,1543.550781
484,2018,,Coal Consumption,1163.599854
485,2018,,Oil Consumption,2257.501953
486,2019,,Geo Biomass Other,8.262966156
487,2019,,Biofuels Consumption - TWh -,0.0
488,2019,,Solar Consumption,33.98899078
489,2019,,Wind Consumption,50.95765305
490,2019,,Hydro Consumption,367.500946
491,2019,,Nuclear Consumption,34.3906517
492,2019,,Gas Consumption,1549.72998
493,2019,,Coal Consumption,1231.316772
494,2019,,Oil Consumption,2262.036133
495,2020,,Geo Biomass Other,8.066415787
496,2020,,Biofuels Consumption - TWh -,0.0
497,2020,,Solar Consumption,42.1750679
498,2020,,Wind Consumption,55.9475708
499,2020,,Hydro Consumption,384.4180298
500,2020,,Nuclear Consumption,35.15513611
501,2020,,Gas Consumption,1535.972412
502,2020,,Coal Consumption,1157.901123
503,2020,,Oil Consumption,2011.052612
504,2021,,Geo Biomass Other,8.026316643
505,2021,,Biofuels Consumption - TWh -,0.0
506,2021,,Solar Consumption,43.2150383
507,2021,,Wind Consumption,63.88870239
508,2021,,Hydro Consumption,401.4471436
509,2021,,Nuclear Consumption,26.17469978
510,2021,,Gas Consumption,1643.815063
511,2021,,Coal Consumption,1168.740601
512,2021,,Oil Consumption,2183.541992
