,Unnamed: 0_x,Unnamed: 0.1_x,Country,"GDP per capita, PPP (constant 2017 international $)_x",Code_x,Primary energy consumption per capita (kWh/person)_x,Region_x,Unnamed: 0_y,Unnamed: 0.1_y,"GDP per capita, PPP (constant 2017 international $)_y",Code_y,Primary energy consumption per capita (kWh/person)_y,Region_y
103,103,169,Malaysia,28421.46248,MYS,38858.89063,East Asia & Pacific,74.0,169.0,28421.46248,MYS,38858.89063,East Asia & Pacific
104,104,171,Namibia,9809.218482,NAM,8737.738281,Sub-Saharan Africa,75.0,171.0,9809.218482,NAM,8737.738281,Sub-Saharan Africa
105,105,173,Niger,1224.375135,NER,451.224884,Sub-Saharan Africa,76.0,173.0,1224.375135,NER,451.224884,Sub-Saharan Africa
106,106,174,Nigeria,5135.499469,NGA,2481.222412,Sub-Saharan Africa,77.0,174.0,5135.499469,NGA,2481.222412,Sub-Saharan Africa
107,107,175,Nicaragua,5445.729533,NIC,4371.559082,Latin America & Carribean,78.0,175.0,5445.729533,NIC,4371.559082,Latin America & Carribean
108,108,176,Netherlands,56784.03725,NLD,57643.90625,Europe & Central Asia,,,,,,
109,109,177,Norway,64385.00599,NOR,95756.6875,Europe & Central Asia,,,,,,
110,110,178,Nepal,3952.760349,NPL,1529.663818,South Asia,79.0,178.0,3952.760349,NPL,1529.663818,South Asia
111,111,179,Nauru,13525.77285,NRU,24818.05273,East Asia & Pacific,80.0,179.0,13525.77285,NRU,24818.05273,East Asia & Pacific
112,112,180,New Zealand,43110.37124,NZL,55161.75781,East Asia & Pacific,,,,,,
113,113,182,Oman,31284.01636,OMN,76099.51563,Middle East & North Africa,,,,,,
114,114,184,Pakistan,5317.774364,PAK,4541.509766,South Asia,81.0,184.0,5317.774364,PAK,4541.509766,South Asia
115,115,185,Panama,31440.26353,PAN,28998.33789,Latin America & Carribean,,,,,,
116,116,186,Peru,12858.3263,PER,10507.8457,Latin America & Carribean,82.0,186.0,12858.3263,PER,10507.8457,Latin America & Carribean
117,117,187,Philippines,8914.723798,PHL,5204.539063,East Asia & Pacific,83.0,187.0,8914.723798,PHL,5204.539063,East Asia & Pacific
118,118,189,Papua New Guinea,4292.609429,PNG,3316.351318,East Asia & Pacific,84.0,189.0,4292.609429,PNG,3316.351318,East Asia & Pacific
119,119,190,Poland,33185.15813,POL,31269.9375,Europe & Central Asia,,,,,,
120,120,192,Puerto Rico,34804.94346,PRI,27927.33789,Latin America & Carribean,,,,,,
121,121,194,Portugal,34945.66134,PRT,28655.55273,Europe & Central Asia,,,,,,
122,122,195,Paraguay,12615.52865,PRY,18397.52148,Latin America & Carribean,85.0,195.0,12615.52865,PRY,18397.52148,Latin America & Carribean
123,123,200,Qatar,90043.799,QAT,206620.5313,Middle East & North Africa,,,,,,
124,124,201,Romania,29875.06277,ROU,20002.61523,Europe & Central Asia,86.0,201.0,29875.06277,ROU,20002.61523,Europe & Central Asia
125,125,203,Rwanda,2227.515571,RWA,499.5462341,Sub-Saharan Africa,87.0,203.0,2227.515571,RWA,499.5462341,Sub-Saharan Africa
126,126,205,Saudi Arabia,46999.93814,SAU,87468.54688,Middle East & North Africa,,,,,,
127,127,206,Sudan,4173.566406,SDN,2359.674072,Sub-Saharan Africa,88.0,206.0,4173.566406,SDN,2359.674072,Sub-Saharan Africa
128,128,207,Senegal,3368.262274,SEN,2703.498535,Sub-Saharan Africa,89.0,207.0,3368.262274,SEN,2703.498535,Sub-Saharan Africa
129,129,208,Singapore,98283.30891,SGP,169094.9844,East Asia & Pacific,,,,,,
130,130,209,Solomon Islands,2660.514892,SLB,2038.201538,East Asia & Pacific,90.0,209.0,2660.514892,SLB,2038.201538,East Asia & Pacific
131,131,210,Sierra Leone,1705.191452,SLE,528.336731,Sub-Saharan Africa,91.0,210.0,1705.191452,SLE,528.336731,Sub-Saharan Africa
132,132,211,El Salvador,8776.119516,SLV,7069.96582,Latin America & Carribean,92.0,211.0,8776.119516,SLV,7069.96582,Latin America & Carribean
133,133,213,Somalia,1186.450871,SOM,235.5066681,Sub-Saharan Africa,93.0,213.0,1186.450871,SOM,235.5066681,Sub-Saharan Africa
134,134,214,Serbia,18306.78524,SRB,22784.41602,Europe & Central Asia,94.0,214.0,18306.78524,SRB,22784.41602,Europe & Central Asia
135,135,219,Sao Tome and Principe,4005.341623,STP,3411.550781,Sub-Saharan Africa,95.0,219.0,4005.341623,STP,3411.550781,Sub-Saharan Africa
136,136,220,Suriname,19036.74504,SUR,24136.25586,Latin America & Carribean,96.0,220.0,19036.74504,SUR,24136.25586,Latin America & Carribean
137,137,222,Slovenia,38946.68538,SVN,38530.51563,Europe & Central Asia,,,,,,
138,138,223,Sweden,52850.56918,SWE,64719.82422,Europe & Central Asia,,,,,,
139,139,224,Eswatini,8652.922717,SWZ,5678.396484,Sub-Saharan Africa,97.0,224.0,8652.922717,SWZ,5678.396484,Sub-Saharan Africa
140,140,226,Seychelles,29365.99966,SYC,47767.85156,Sub-Saharan Africa,,,,,,
141,141,228,Turks and Caicos Islands,29251.07773,TCA,25774.60742,Latin America & Carribean,98.0,228.0,29251.07773,TCA,25774.60742,Latin America & Carribean
142,142,229,Chad,1579.626101,TCD,461.7154236,Sub-Saharan Africa,99.0,229.0,1579.626101,TCD,461.7154236,Sub-Saharan Africa
143,143,232,Togo,2121.899918,TGO,1205.38501,Sub-Saharan Africa,100.0,232.0,2121.899918,TGO,1205.38501,Sub-Saharan Africa
144,144,233,Thailand,18438.64738,THA,21887.79492,East Asia & Pacific,101.0,233.0,18438.64738,THA,21887.79492,East Asia & Pacific
145,145,234,Tajikistan,3581.409187,TJK,8101.675781,Europe & Central Asia,102.0,234.0,3581.409187,TJK,8101.675781,Europe & Central Asia
146,146,235,Turkmenistan,15538.41997,TKM,66438.78125,Europe & Central Asia,,,,,,
147,147,239,Tonga,6377.35552,TON,6694.15332,East Asia & Pacific,103.0,239.0,6377.35552,TON,6694.15332,East Asia & Pacific
148,148,242,Trinidad and Tobago,26827.29412,TTO,138404.7344,Latin America & Carribean,,,,,,
149,149,243,Tunisia,11420.84973,TUN,10435.09375,Middle East & North Africa,104.0,243.0,11420.84973,TUN,10435.09375,Middle East & North Africa
150,150,245,Tuvalu,4527.683995,TUV,0.0,East Asia & Pacific,105.0,245.0,4527.683995,TUV,0.0,East Asia & Pacific
151,151,246,Tanzania,2660.637451,TZA,977.6470337,Sub-Saharan Africa,106.0,246.0,2660.637451,TZA,977.6470337,Sub-Saharan Africa
152,152,247,Uganda,2182.899761,UGA,862.4026489,Sub-Saharan Africa,107.0,247.0,2182.899761,UGA,862.4026489,Sub-Saharan Africa
153,153,248,Ukraine,12804.95508,UKR,21768.2168,Europe & Central Asia,108.0,248.0,12804.95508,UKR,21768.2168,Europe & Central Asia
154,154,250,Uruguay,23032.73404,URY,19607.18164,Latin America & Carribean,109.0,250.0,23032.73404,URY,19607.18164,Latin America & Carribean
155,155,251,United States,62458.75335,USA,80749.0,North America,,,,,,
156,156,252,Uzbekistan,7348.146883,UZB,16210.30371,Europe & Central Asia,110.0,252.0,7348.146883,UZB,16210.30371,Europe & Central Asia
157,157,257,Vietnam,10134.25903,VNM,12496.14648,East Asia & Pacific,111.0,257.0,10134.25903,VNM,12496.14648,East Asia & Pacific
158,158,258,Vanuatu,3116.594618,VUT,3187.939697,East Asia & Pacific,112.0,258.0,3116.594618,VUT,3187.939697,East Asia & Pacific
159,159,260,Samoa,6627.838501,WSM,7959.014648,East Asia & Pacific,113.0,260.0,6627.838501,WSM,7959.014648,East Asia & Pacific
160,160,263,South Africa,13709.96637,ZAF,25440.29297,Sub-Saharan Africa,114.0,263.0,13709.96637,ZAF,25440.29297,Sub-Saharan Africa
161,161,264,Zambia,3470.435511,ZMB,3398.124268,Sub-Saharan Africa,115.0,264.0,3470.435511,ZMB,3398.124268,Sub-Saharan Africa
162,162,265,Zimbabwe,2310.634802,ZWE,3374.877197,Sub-Saharan Africa,116.0,265.0,2310.634802,ZWE,3374.877197,Sub-Saharan Africa
